id,direccion
1009,AV CORDOBA 2639
1009,AV SANTA FE 4800
1010,AV DIAZ VELEZ 3897
1012,PEÑA 3119
1013,SAN MARTIN 145
1014,AV GRAL. MOSCONI 3300
1015,AV CORDOBA 2501
1015,AV RIVADAVIA 4451
1016,AV ESTADO DE ISRAEL 4790
1018,MONROE 1600
1018,PEDRO MORAN 4892
1018,RIOBAMBA 434
1019,GASCON 667
1020,AV SAN MARTIN 1755
1020,RAMON L. FALCON 2542
1021,MURGUIONDO 3096
1023,MARIANO ACHA 4801
1025,AV PTE. MANUEL QUINTANA 531
1029,PEDRO MORAN 3529
1030,CUENCA 3005
1032,AV CALLAO 1501
1033,AV SANTA FE 4228
1035,HIPOLITO YRIGOYEN 1130
1035,NEUQUEN 1602
1036,AV CABILDO 3307
1038,MONTES DE OCA 839
1039,AV SAN JUAN 1302
1040,J B ALBERDI 6151
1041,AV EVA PERON 4802
1044,CARLOS PELLEGRINI 765
1044,RUIZ HUIDOBRO 4062
1044,SANCHEZ DE BUSTAMANTE 1639
1045,AV CORRIENTES 1999
1045,CAAGUAZU 6299
1047,AV DEL LIBERTADOR 7446
1047,AV GAONA 2778
1049,AV DIRECTORIO 4701
1051,LA PAMPA 3400
1052,AV MEDRANO 60
1052,PACHECO DE MELO 1899
1053,AV J. DE GARAY 400
1055,AV CORRIENTES 901
1056,VENEZUELA 2726
1057,MONTIEL 1100
1060,AV CALLAO 689
1062,ALVAREZ JONTE 2475
1062,AV PUEYRREDON 581
1063,AV PUEYRREDON 609
1063,JURAMENTO 1941
1063,SANTOS DUMONT 2491
1063,SARMIENTO 1579
1065,AV GRAL PAZ 12950
1065,AV SAN JUAN 3002
1068,AV LA PLATA 2501
1072,J B ALBERDI 5855
1076,AV GAONA 2488
1076,J B ALBERDI 7467
1077,AV SAN JUAN 2844
1078,RECONQUISTA 526
1078,YERBAL 2399
1079,AV GAONA 2608
1079,LARREA 1032
1080,AV BELGRANO 2950
1080,AV CONGRESO 2486
1081,AV MONROE 3195
1084,AV RIVADAVIA 4718
1084,CUENCA 3384
1086,SARMIENTO 1490
1087,NAON 2357
1088,AV JUJUY 107
1089,AV RIESTRA 5701
1094,SARMIENTO 1867
1096,AV RIVADAVIA 2502
1098,AV RIVADAVIA 6327
1100,BRASIL 1269
1103,RECONQUISTA 613
1104,AV LIBERTADOR 8322
1104,AV TRIUNVIRATO 3752
1107,"MONTES DE OCA, MANUEL AV. 203"
1108,AV SAN MARTIN 2711
1108,RIOBAMBA 1076
1110,CARHUE 99
1111,PEDRO MORAN 4601
1112,AV ENTRE RIOS 459
1113,SERRANO 1044
1115,AV CABILDO 370
1115,AV ELCANO 3901
1115,SANABRIA 3111
1118,BONPLAND 1631
1119,AV SAENZ 1091
1120,AV COLON 979
1122,AV JUAN B. ALBERDI 7399
1123,SAAVEDRA 126
1126,DOBLAS 228
1128,RIGLOS 370
1130,AV RIVADAVIA 3426
1133,AUSTRIA 2480
1133,LAVALLE 646
1138,ESTADOS UNIDOS 3001
1139,AV CORDOBA 3949
1143,AV CARABOBO 1295
1145,AV RIVADAVIA 2101
1148,AV LUIS MARIA CAMPOS 1501
1148,FLORIDA 474
1149,AV NAZCA 1930
1150,TALCAHUANO 958
1150,VIEDMA FRANCISCO DE 6901
1151,TUCUMAN 2686
1152,LA PAMPA 3915
1154,FORMOSA 100
1155,SUAREZ 301
1156,AV AVELLANEDA 390
1156,CONDE 815
1156,MAHATMA GANDHI 397
1157,AV LOPE DE VEGA 3249
1157,AV NAZCA 2102
1157,AV SAN JUAN 2233
1157,ELPIDIO GONZALEZ 5095
1158,TENIENTE GENERAL JUAN D PERON 2740
1162,AV CASEROS 1990
1163,VIAMONTE 1416
1166,TENIENTE GENERAL JUAN D PERON 1670
1167,AV CORDOBA 1432
1170,HIPOLITO YRIGOYEN 3312
1172,AV LA PLATA 405
1173,BRASIL 1156
1175,AV SAN MARTIN 4951
1175,DEFENSA 1200
1178,ECHEVERRIA 1472
1178,ROMA 955
1182,AV JUAN B. ALBERDI 1401
1183,HIPOLITO YRIGOYEN 1632
1185,IBARROLA 7232
1190,GALVAN 4102
1193,AV CABILDO 810
1193,GURRUCHAGA 684
1193,VENEZUELA 4455
1195,MONTES DE OCA 1401
1197,AV JUAN B. ALBERDI 7461
1199,AV SANTA FE 802
1201,CHARCAS 4043
1201,VUELTA DE OBLIGADO 2699
1202,AV PUEYRREDON 202
1202,YERBAL 2899
1205,AV DR. RICARDO BALBIN 4114
1205,AV RIVADAVIA 6199
1206,AV SAENZ 1285
1206,FORMOSA 302
1206,GUEVARA 1541
1207,CERVIÑO 3381
1209,CERRITO 1516
1211,LAVALLE 4098
1212,CULLEN 5297
1213,AV BELGRANO 1746
1214,CONESA 2239
1215,COSQUIN 732
1217,AV DIRECTORIO 5126
1217,MORENO 2033
1217,PARAGUAY 2902
1218,AV CRAMER 2301
1219,AV IRIARTE 2200
1220,AV DE MAYO 675
1221,AV CORRIENTES 2202
1221,MONROE 2499
1222,AV RIVADAVIA 8099
1223,AV CRISOLOGO LARRALDE 3197
1223,TUCUMAN 3199
1225,BRASIL 2388
1226,AV CABILDO 3424
1227,JUAN F. SEGUI 3635
1228,AV AVELLANEDA 3724
1228,AV EVA PERON 3100
1229,CASTEX 3438
1230,AV CORRIENTES 2289
1231,AV COMBATIENTES DE MALVINAS 3005
1235,AV LOPE DE VEGA 2599
1235,GRAL M A RODRIGUEZ 1284
1235,MARIANO ACOSTA 1449
1236,AV CABILDO 2685
1237,AV JUAN B. ALBERDI 4301
1237,AV LEANDRO N ALEM 702
1238,MEXICO 2501
1241,AV RIVADAVIA 2754
1241,AV SAN MARTIN 6899
1241,F GARCIA LORCA 399
1242,AV RIVADAVIA 3913
1242,YERBAL
1245,AV OLIVERA 139
1247,AV GAONA 3050
1247,AV GRAL. MOSCONI 2502
1249,LAVALLE 1127
1250,JUANA MANSO 1189
1256,BOGOTA 3
1257,AV CORDOBA 2850
1259,PEDERNERA 599
1260,AV EVA PERON 2590
1260,VENEZUELA 1502
1261,BOLIVAR 716
1261,"YRIGOYEN, HIPOLITO"
1262,AVELLANEDA 590
1263,AV JUAN B. ALBERDI 4899
1263,CUENCA 2901
1265,AV SAENZ 296
1265,LAVALLE 2099
1266,AV BELGRANO 1702
1272,ARENALES 1813
1273,TRELLES 2502
1274,AV PEDRO GOYENA 701
1274,ECHEVERRIA 3062
1276,MOLDES 2289
1277,AV FEDERICO LACROZE 3254
1277,AV LOPE DE VEGA 3185
1278,AV DE LOS CONSTITUYENTES 5502
1278,AV J. DE GARAY 401
1278,PASTEUR 532
1279,ARCOS 1739
1279,AV MONROE 3508
1282,AV ENTRE RIOS 196
1286,AV SAN JUAN 172
1287,PI Y MARGALL 781
1288,AV SAN MARTIN 1216
1288,EMILIO MITRE 1404
1288,MAGARINOS CERVANTES 5402
1295,AV DIAZ VELEZ 3899
1295,GUEMES 3787
1296,AV SAN MARTIN 1631
1300,AV RIVADAVIA 8503
1301,NAZCA 3714
1302,J B ALBERDI 202
1303,AV CORRIENTES 1880
1310,BRUSELAS 816
1313,AV CASEROS 2979
1319,AV INDEPENDENCIA 3347
1319,AV RIVADAVIA 8880
1320,PARAGUAY 797
1321,JUNCAL 2733
1322,JOSE E. RODO 7202
1323,URUGUAY 1272
1324,AV GAONA 3601
1324,LARREA 552
1327,AV CORRIENTES 2276
1327,AV CORRIENTES 6847
1329,A ALSINA 2842
1331,LISANDRO DE LA TORRE 201
1331,SANABRIA 2501
1333,AV BEIRO FRANCISCO 5530
1334,AV SANTA FE 2399
1334,AV SANTA FE 4220
1339,JONTE 2098
1340,AV RIVADAVIA 3081
1340,LARREA 127
1343,AV CHIVILCOY 3894
1344,AV RIVADAVIA 3823
1345,AV ANGEL GALLARDO 1071
1345,AV LOPE DE VEGA 1397
1347,MORENO 900
1348,JURAMENTO 1520
1349,AV CERVIÑO 4602
1349,AV ENTRE RIOS 205
1349,DEAN FUNES 1744
1352,AV LOPE DE VEGA 2284
1353,SAN MARTIN 908
1354,AV NAZCA 3001
1354,AV SAN MARTIN 2165
1354,CABRERA JOSE ANTONIO 5000
1355,BAUNESS 2600
